Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,C,23,TOR,12,0,20.4,3,7.7,0.391,0.4,2.3,0.179,2.6,5.3,0.484,0.418,2.3,2.8,0.848,2,5,7,1.3,0.2,0.6,1.3,1.6,8.8
2,Steven Adams,C,29,MEM,21,21,27,3.5,5.9,0.593,0,0,0,3.5,5.8,0.598,0.593,0.9,3,0.306,5.2,6,11.2,2.3,0.9,1,2.2,2.5,7.9
3,Bam Adebayo,C,25,MIA,21,21,35,8.1,15.3,0.531,0,0.4,0.111,8.1,14.9,0.543,0.533,4.7,5.4,0.867,2.4,6.8,9.1,3.3,1,0.8,3.1,3.5,21
4,Ochai Agbaji,SG,22,UTA,8,0,9,1.3,2.6,0.476,0.1,0.9,0.143,1.1,1.8,0.643,0.5,0.5,0.9,0.571,0.5,0.8,1.3,0.1,0.1,0,0,1,3.1
5,Santi Aldama,PF,22,MEM,22,15,24.9,3.4,7.6,0.446,1.2,3.7,0.333,2.2,4,0.552,0.527,1.2,1.7,0.711,1.6,4.1,5.7,1.3,0.8,1,0.6,2.6,9.3
6,Nickeil Alexander-Walker,SG,24,UTA,15,0,10.5,1.5,3.7,0.393,0.6,1.9,0.321,0.9,1.9,0.464,0.473,0.5,0.6,0.889,0.2,0.7,0.9,1.5,0.5,0.3,0.7,1.4,4.1
7,Grayson Allen,SG,27,MIL,20,18,27,3.4,7.4,0.456,2,4.6,0.435,1.4,2.8,0.491,0.592,2.2,2.4,0.915,0.9,2.7,3.5,2.6,0.8,0.3,1.3,1.6,10.9
8,Jarrett Allen,C,24,CLE,17,17,32,5.5,9.4,0.588,0,0.1,0,5.5,9.3,0.595,0.588,2.4,3.1,0.788,2.9,7.8,10.8,1.3,0.5,1.2,1.7,2.2,13.5
9,Jose Alvarado,PG,24,NOP,23,6,21.2,3.7,7.8,0.472,1.7,4.1,0.404,2,3.7,0.547,0.578,0.9,1.1,0.84,0.4,2,2.4,3.3,1.2,0.2,1.3,2.2,10
10,Kyle Anderson,PF,29,MIN,18,3,22.1,2.3,4.7,0.494,0.5,1.2,0.429,1.8,3.6,0.516,0.547,1.3,1.6,0.821,0.7,3.3,4.1,2.9,1,0.9,1.4,1.3,6.4
11,Giannis Antetokounmpo,PF,28,MIL,18,18,32.9,11.7,21.6,0.542,0.7,3.3,0.22,11,18.3,0.6,0.559,7.6,12.4,0.614,2.1,9.1,11.2,5.5,0.8,1,3.7,3.4,31.8
12,Thanasis Antetokounmpo,SF,30,MIL,11,0,3.9,0.1,0.4,0.25,0,0.1,0,0.1,0.3,0.333,0.25,0,0,,0.2,0.8,1,0.2,0,0.2,0.4,0.3,0.2
